"DATE_AND_TIME";"DATE";"TIME";"GAME";"RESULT";"ATTENDENCE";"STADIUM";"SEASON";"WEEKDAY";"HOME_OR_AWAY";"TEAM";"HOME_TEAM";"AWAY_TEAM";"OPPONENT";"HOME_GOALS";"AWAY_GOALS";"GOAL_FOR";"GOAL_AGAINST";"GOAL_DIFF";"GAMES_PLAYED";"POINTS";"W";"D";"L";"CUM_GOAL_FOR";"CUM_GOAL_AGAINST";"CUM_GOAL_DIFF";"CUM_GAMES_PLAYED";"CUM_POINTS";"CUM_W";"CUM_D";"CUM_L";"CUM_POSITION";"LATEST_POSITION_PER_SEASON"
2001-04-29 15:00:00;2001-04-29;"15:00";"AIK - Trelleborgs FF";"2 - 1";11075;"Råsunda";2001;"söndag";"HOME";"AIK";"AIK";"Trelleborgs FF";"Trelleborgs FF";2;1;2;1;1;1;3;1;0;0;5;4;1;4;7;2;1;1;4;3
2001-05-06 17:00:00;2001-05-06;"17:00";"BK Häcken - Malmö FF";"2 - 1";3327;"Rambergsvallen";2001;"söndag";"HOME";"BK Häcken";"BK Häcken";"Malmö FF";"Malmö FF";2;1;2;1;1;1;3;1;0;0;4;3;1;4;7;2;1;1;5;13
2001-04-30 15:00:00;2001-04-30;"15:00";"Örgryte IS - Helsingborgs IF";"1 - 0";4423;"Gamla Ullevi";2001;"måndag";"AWAY";"Helsingborgs IF";"Örgryte IS";"Helsingborgs IF";"Örgryte IS";1;0;0;1;-1;1;0;0;0;1;5;3;2;4;6;2;0;2;6;5
2001-05-01 17:00:00;2001-05-01;"17:00";"Hammarby - IFK Göteborg";"1 - 1";10667;"Söderstadion 1";2001;"tisdag";"HOME";"Hammarby";"Hammarby";"IFK Göteborg";"IFK Göteborg";1;1;1;1;0;1;1;0;1;0;5;4;1;4;6;1;3;0;7;1
2001-04-29 15:00:00;2001-04-29;"15:00";"GIF Sundsvall - Halmstads BK";"3 - 1";3702;"Norrporten Arena";2001;"söndag";"HOME";"GIF Sundsvall";"GIF Sundsvall";"Halmstads BK";"Halmstads BK";3;1;3;1;2;1;3;1;0;0;4;5;-1;4;6;2;0;2;8;11
2001-04-29 15:00:00;2001-04-29;"15:00";"GIF Sundsvall - Halmstads BK";"3 - 1";3702;"Norrporten Arena";2001;"söndag";"AWAY";"Halmstads BK";"GIF Sundsvall";"Halmstads BK";"GIF Sundsvall";3;1;1;3;-2;1;0;0;0;1;7;5;2;4;4;1;1;2;9;7
2001-05-01 19:00:00;2001-05-01;"19:00";"Malmö FF - IFK Norrköping";"0 - 0";17300;"Malmö Stadion";2001;"tisdag";"AWAY";"IFK Norrköping";"Malmö FF";"IFK Norrköping";"Malmö FF";0;0;0;0;0;1;1;0;1;0;2;6;-4;4;4;1;1;2;10;12
2001-04-29 15:00:00;2001-04-29;"15:00";"Örebro SK - Djurgården";"2 - 2";7466;"Felaktig arena";2001;"söndag";"HOME";"Örebro SK";"Örebro SK";"Djurgården";"Djurgården";2;2;2;2;0;1;1;0;1;0;4;6;-2;4;3;0;3;1;11;8
2001-05-08 19:00:00;2001-05-08;"19:00";"Helsingborgs IF - IF Elfsborg";"3 - 0";11383;"Olympia, Helsingborg";2001;"tisdag";"AWAY";"IF Elfsborg";"Helsingborgs IF";"IF Elfsborg";"Helsingborgs IF";3;0;0;3;-3;1;0;0;0;1;3;10;-7;4;3;1;0;3;12;10
2001-05-06 17:00:00;2001-05-06;"17:00";"Djurgården - Örgryte IS";"0 - 0";6211;"Stockholms Stadion 1";2001;"söndag";"HOME";"Djurgården";"Djurgården";"Örgryte IS";"Örgryte IS";0;0;0;0;0;1;1;0;1;0;2;7;-5;4;2;0;2;2;13;2
2001-05-07 19:00:00;2001-05-07;"19:00";"Trelleborgs FF - Halmstads BK";"0 - 3";2333;"A-plan";2001;"måndag";"HOME";"Trelleborgs FF";"Trelleborgs FF";"Halmstads BK";"Halmstads BK";0;3;0;3;-3;1;0;0;0;1;2;10;-8;4;0;0;0;4;14;14
2001-05-07 19:00:00;2001-05-07;"19:00";"IFK Göteborg - AIK";"1 - 0";12191;"Gamla Ullevi";2001;"måndag";"HOME";"IFK Göteborg";"IFK Göteborg";"AIK";"AIK";1;0;1;0;1;1;3;1;0;0;7;3;4;5;11;3;2;0;1;4
2001-05-06 17:00:00;2001-05-06;"17:00";"BK Häcken - Malmö FF";"2 - 1";3327;"Rambergsvallen";2001;"söndag";"AWAY";"Malmö FF";"BK Häcken";"Malmö FF";"BK Häcken";2;1;1;2;-1;1;0;0;0;1;9;2;7;5;10;3;1;1;2;9
2001-05-08 19:00:00;2001-05-08;"19:00";"Helsingborgs IF - IF Elfsborg";"3 - 0";11383;"Olympia, Helsingborg";2001;"tisdag";"HOME";"Helsingborgs IF";"Helsingborgs IF";"IF Elfsborg";"IF Elfsborg";3;0;3;0;3;1;3;1;0;0;8;3;5;5;9;3;0;2;3;5
2001-05-06 17:00:00;2001-05-06;"17:00";"Djurgården - Örgryte IS";"0 - 0";6211;"Stockholms Stadion 1";2001;"söndag";"AWAY";"Örgryte IS";"Djurgården";"Örgryte IS";"Djurgården";0;0;0;0;0;1;1;0;1;0;9;5;4;5;9;2;3;0;4;6
2001-05-07 19:00:00;2001-05-07;"19:00";"Hammarby - Örebro SK";"3 - 0";9308;"Söderstadion 1";2001;"måndag";"HOME";"Hammarby";"Hammarby";"Örebro SK";"Örebro SK";3;0;3;0;3;1;3;1;0;0;8;4;4;5;9;2;3;0;5;1
2001-05-14 19:00:00;2001-05-14;"19:00";"Örebro SK - BK Häcken";"2 - 2";4051;"Felaktig arena";2001;"måndag";"AWAY";"BK Häcken";"Örebro SK";"BK Häcken";"Örebro SK";2;2;2;2;0;1;1;0;1;0;6;5;1;5;8;2;2;1;6;13
2001-05-07 19:00:00;2001-05-07;"19:00";"Trelleborgs FF - Halmstads BK";"0 - 3";2333;"A-plan";2001;"måndag";"AWAY";"Halmstads BK";"Trelleborgs FF";"Halmstads BK";"Trelleborgs FF";0;3;3;0;3;1;3;1;0;0;10;5;5;5;7;2;1;2;7;7
2001-05-07 19:00:00;2001-05-07;"19:00";"IFK Göteborg - AIK";"1 - 0";12191;"Gamla Ullevi";2001;"måndag";"AWAY";"AIK";"IFK Göteborg";"AIK";"IFK Göteborg";1;0;0;1;-1;1;0;0;0;1;5;5;0;5;7;2;1;2;8;3
2001-05-06 17:00:00;2001-05-06;"17:00";"IFK Norrköping - GIF Sundsvall";"0 - 0";4378;"Norrköpings Idrottspark";2001;"söndag";"AWAY";"GIF Sundsvall";"IFK Norrköping";"GIF Sundsvall";"IFK Norrköping";0;0;0;0;0;1;1;0;1;0;4;5;-1;5;7;2;1;2;9;11
2001-05-06 17:00:00;2001-05-06;"17:00";"IFK Norrköping - GIF Sundsvall";"0 - 0";4378;"Norrköpings Idrottspark";2001;"söndag";"HOME";"IFK Norrköping";"IFK Norrköping";"GIF Sundsvall";"GIF Sundsvall";0;0;0;0;0;1;1;0;1;0;2;6;-4;5;5;1;2;2;10;12
2001-05-07 19:00:00;2001-05-07;"19:00";"Hammarby - Örebro SK";"3 - 0";9308;"Söderstadion 1";2001;"måndag";"AWAY";"Örebro SK";"Hammarby";"Örebro SK";"Hammarby";3;0;0;3;-3;1;0;0;0;1;4;9;-5;5;3;0;3;2;11;8
2001-05-10 19:00:00;2001-05-10;"19:00";"Djurgården - Trelleborgs FF";"0 - 0";6705;"Stockholms Stadion 1";2001;"torsdag";"HOME";"Djurgården";"Djurgården";"Trelleborgs FF";"Trelleborgs FF";0;0;0;0;0;1;1;0;1;0;2;7;-5;5;3;0;3;2;12;2
2001-05-14 19:00:00;2001-05-14;"19:00";"IF Elfsborg - Hammarby";"0 - 3";6868;"Ryavallen";2001;"måndag";"HOME";"IF Elfsborg";"IF Elfsborg";"Hammarby";"Hammarby";0;3;0;3;-3;1;0;0;0;1;3;13;-10;5;3;1;0;4;13;10
2001-05-10 19:00:00;2001-05-10;"19:00";"Djurgården - Trelleborgs FF";"0 - 0";6705;"Stockholms Stadion 1";2001;"torsdag";"AWAY";"Trelleborgs FF";"Djurgården";"Trelleborgs FF";"Djurgården";0;0;0;0;0;1;1;0;1;0;2;10;-8;5;1;0;1;4;14;14
2001-05-14 19:00:00;2001-05-14;"19:00";"Malmö FF - IFK Göteborg";"0 - 6";12109;"Malmö Stadion";2001;"måndag";"AWAY";"IFK Göteborg";"Malmö FF";"IFK Göteborg";"Malmö FF";0;6;6;0;6;1;3;1;0;0;13;3;10;6;14;4;2;0;1;4
2001-05-14 19:00:00;2001-05-14;"19:00";"IF Elfsborg - Hammarby";"0 - 3";6868;"Ryavallen";2001;"måndag";"AWAY";"Hammarby";"IF Elfsborg";"Hammarby";"IF Elfsborg";0;3;3;0;3;1;3;1;0;0;11;4;7;6;12;3;3;0;2;1
2001-05-13 17:00:00;2001-05-13;"17:00";"Halmstads BK - Helsingborgs IF";"2 - 2";8670;"Örjans Vall";2001;"söndag";"AWAY";"Helsingborgs IF";"Halmstads BK";"Helsingborgs IF";"Halmstads BK";2;2;2;2;0;1;1;0;1;0;10;5;5;6;10;3;1;2;3;5
2001-05-14 19:00:00;2001-05-14;"19:00";"Malmö FF - IFK Göteborg";"0 - 6";12109;"Malmö Stadion";2001;"måndag";"HOME";"Malmö FF";"Malmö FF";"IFK Göteborg";"IFK Göteborg";0;6;0;6;-6;1;0;0;0;1;9;8;1;6;10;3;1;2;4;9
2001-05-13 17:00:00;2001-05-13;"17:00";"Örgryte IS - IFK Norrköping";"1 - 2";2654;"Gamla Ullevi";2001;"söndag";"HOME";"Örgryte IS";"Örgryte IS";"IFK Norrköping";"IFK Norrköping";1;2;1;2;-1;1;0;0;0;1;10;7;3;6;9;2;3;1;5;6
2001-05-13 17:00:00;2001-05-13;"17:00";"Halmstads BK - Helsingborgs IF";"2 - 2";8670;"Örjans Vall";2001;"söndag";"HOME";"Halmstads BK";"Halmstads BK";"Helsingborgs IF";"Helsingborgs IF";2;2;2;2;0;1;1;0;1;0;12;7;5;6;8;2;2;2;6;7
2001-05-15 19:00:00;2001-05-15;"19:00";"AIK - Djurgården";"1 - 1";27860;"Råsunda";2001;"tisdag";"HOME";"AIK";"AIK";"Djurgården";"Djurgården";1;1;1;1;0;1;1;0;1;0;6;6;0;6;8;2;2;2;7;3
2001-05-17 19:00:00;2001-05-17;"19:00";"IF Elfsborg - BK Häcken";"3 - 1";4523;"Ryavallen";2001;"torsdag";"AWAY";"BK Häcken";"IF Elfsborg";"BK Häcken";"IF Elfsborg";3;1;1;3;-2;1;0;0;0;1;7;8;-1;6;8;2;2;2;8;13
2001-05-13 17:00:00;2001-05-13;"17:00";"Örgryte IS - IFK Norrköping";"1 - 2";2654;"Gamla Ullevi";2001;"söndag";"AWAY";"IFK Norrköping";"Örgryte IS";"IFK Norrköping";"Örgryte IS";1;2;2;1;1;1;3;1;0;0;4;7;-3;6;8;2;2;2;9;12
2001-05-13 17:00:00;2001-05-13;"17:00";"GIF Sundsvall - Trelleborgs FF";"0 - 1";4127;"Norrporten Arena";2001;"söndag";"HOME";"GIF Sundsvall";"GIF Sundsvall";"Trelleborgs FF";"Trelleborgs FF";0;1;0;1;-1;1;0;0;0;1;4;6;-2;6;7;2;1;3;10;11
2001-05-17 19:00:00;2001-05-17;"19:00";"IF Elfsborg - BK Häcken";"3 - 1";4523;"Ryavallen";2001;"torsdag";"HOME";"IF Elfsborg";"IF Elfsborg";"BK Häcken";"BK Häcken";3;1;3;1;2;1;3;1;0;0;6;14;-8;6;6;2;0;4;11;10
2001-05-14 19:00:00;2001-05-14;"19:00";"Örebro SK - BK Häcken";"2 - 2";4051;"Felaktig arena";2001;"måndag";"HOME";"Örebro SK";"Örebro SK";"BK Häcken";"BK Häcken";2;2;2;2;0;1;1;0;1;0;6;11;-5;6;4;0;4;2;12;8
2001-05-15 19:00:00;2001-05-15;"19:00";"AIK - Djurgården";"1 - 1";27860;"Råsunda";2001;"tisdag";"AWAY";"Djurgården";"AIK";"Djurgården";"AIK";1;1;1;1;0;1;1;0;1;0;3;8;-5;6;4;0;4;2;13;2
